Archivo,Funcion_Principal,Perfil,Modulo_Anatomico,Control_UI_Asociado
rigart_v3.c,rigart_v3_render_typo,Modular,L. Estudio artístico RigArt,Editor tipográfico y cinética CSS/SVG
rig_face_ng_hair.c,rig_hair_simulate_physics,Modular,E. Cabello y crecimiento,Dispersión Marschner R/TT/TRT y físicas
rig_face_sovereign_camera.c,rig_sov_camera_track_frame,Modular,C. Escaneo y reconstrucción,Captura V4L2 Honor 400 y 68 landmarks
rig_face_engine_v2.c,rig_v2_generate_microdetail,Modular,D. Piel viva,"Generación de poros, vasos y arrugas V2"
rig_haptic.c,rig_haptic_drive_matrix,Modular,"K. Tacto, AOM y sonido material","Matriz ultrasónica 8x8 @ 40kHz, fases y fuerza"
rig_face_soft_body.c,rig_softbody_simulate_pbd,Modular,I. Cuerpo y física,Física de tejidos blandos y resortes PBD
rig_face_age_timeline.c,rig_age_interpolate_pchip,Modular,A. Creación facial y anatomía,Línea temporal Fritsch-Carlson (0-100a)
rig_face_codegen.c,rig_codegen_emit_c11,Modular,N. Exportación y desarrollo,"Generación de código C11, RigScript y JSON"
rig_height3d.c,rig_height3d_sample_pattern,Modular,"K. Tacto, AOM y sonido material","Relieve 3D, microporos, moleteado e impasto"
rig_master.c,rig_master_dispatch_event,Modular,"K. Tacto, AOM y sonido material",Orquestador reloj unificado Schumann 7.83Hz
rig_face_eye_vergence.c,rig_vergence_compute_fixation,Modular,F. Ojos y visión,"Vergencia binocular, acomodación y pupila"
rig_face_engine.c,rig_engine_build_icosahedron,Modular,A. Creación facial y anatomía,Subdivisión icosaédrica y skinning dual-quat
rig_face_archetypes.c,rig_archetype_blend_matrix,Modular,B. Arquetipos y genética,Mezcla de 36 arquetipos canónicos
rig_material.c,rig_material_eval_pbr,Modular,"J. Materiales, entorno y renderizado","34 presets PBR, Sheen, SSS e Iridiscencia"
rig_face_ng_anim.c,rig_anim_apply_facs_au,Modular,"H. Voz, audio y animación facial",Animación 128 AUs FACS y 43 músculos
rig_face_sovereign_audio.c,rig_audio_analyze_formants,Modular,"H. Voz, audio y animación facial","Análisis FFT, formantes y visemas"
rigart_v5_mobile.c,rigart_v5_mobile_ui_build,Modular,L. Estudio artístico RigArt,Catálogo móvil 26 texturas y 18 ventanas
rig_face_recon_bridge.c,rig_recon_map_anthropometry,Modular,C. Escaneo y reconstrucción,Puente mediciones antropométricas a malla
rigart_geo_extra.c,rigart_geo_generate_dodecahedron,Modular,L. Estudio artístico RigArt,"Geometrías 3D dodecaedro, icosfera y cono"
